お金が足りない...	沒有足够的金錢…
旅人を狙って金品を奪う荒くれ者。	以旅行者為目標，搶奪錢財的流氓。
土から生まれ、土にかえる心無き人造人間。	生於土，歸於土的無心人造人。
魔力で動く金属の人形。	由魔法驅動的金屬人偶。
闇の力を操る魔法使い。	操控黑暗力量的魔法使。
剣士	劍士
神官	神官
魔法使い	魔法使
ビーストテイマー	馴獸師
ナイフ	小刀
#武器	#武器
父から誕生日にもらった、小ぶりのナイフ。	生日那天從父親那裡得到的小刀。
精霊の剣	精靈之劍
勇者の資質がないと、手に持つことすらできない精霊の剣。	沒有勇者的資質，就無法舉起的精靈之劍。
薬草	藥草
HPを回復する薬草。ちょっと苦い。	恢復HP的藥草。 有點苦。
ポーション	藥水
HPをかなり回復する飲み薬。少し甘い。	恢復大量HP的藥水。 有點甜。
マジックハーブ	神奇藥草
MPを回復する薬草。かなり苦い。	恢復MP的藥草。 相當苦。
マジックポーション	神奇藥水
MPをかなり回復する飲み薬。結構甘い。	恢復大量MP的藥水。 非常甜。
フルポーション	全恢復藥水
HPとMPだけでなく、怪我も完全回復する秘薬。	一種能完全恢復HP、MP，乃至傷勢的秘藥。
毒消しハーブ	解毒藥草
毒を治す薬草。微妙な味。	治療中毒狀態的藥草。 味道難以言喻。
ディスペルハーブ	解除藥草
状態異常を治す薬草。ピリ辛。	治療异常狀態的草藥。 火辣辣的。
パワフルきのこ	强力蘑菇
すべての能力の最大値をアップさせる不思議なきのこ。	神秘的蘑菇，能够提升所有能力的最大值。
精霊の宝珠	精靈寶珠
精霊女王の力が宿る宝珠。世界に８つあるらしい。	蘊含著精靈女王力量的寶珠。 據說世界中一共有8顆。
復活の羽	復活羽毛
戦闘不能を治す不死鳥の羽	起死回生的鳳凰羽毛。
炎の呪文書	火之咒語書
ファイアの魔法が発動する書物	發動火魔法的書籍。
幻影の呪文書	幻影咒語書
ブリンクボディの魔法が発動する書物	發動身影閃移魔法的書籍。
青銅のカギ	青銅鑰匙
銅で作られた粗末なカギ	銅制的劣質鑰匙。
白銀のカギ	銀鑰匙
銀で作られた立派なカギ	銀制的好鑰匙。
黄金のカギ	金鑰匙
金で作られた豪華なカギ	金制的華麗鑰匙。
古代のカギ	古代鑰匙
ぼろぼろに朽ちたカギ	破舊不堪的鑰匙。
カードキー	卡片鑰匙
謎の金属で作られた板	神秘金屬製成的板。
村長の手紙	村長的信
村長の話を聞くともらえる手紙	聽完村長的話之後可獲得的信。
冒険者の証	冒險者之證
冒険者として認められた証	作為冒險者被認可的證明。
村人の依頼書1	村民的委託書1
村人からの依頼内容が書かれた紙	寫著村民委託內容的紙。
村人の依頼書2	村民的委託書2
村人の依頼書3	村民的委託書3
月光草	月光草
あらゆる病気を治す幻の花	治癒百病的夢幻花朵。
古文書	古代書籍
古代魔法語で書かれた謎の書物	使用古代魔法語言撰寫的書籍。
ギルドの依頼書1	公會委託書1
ギルドからの依頼内容が書かれた紙	寫有公會委託內容的紙。
ギルドの依頼書2	公會委託書2
ギルドの依頼書3	公會委託書3
賢者の石板	賢者石板
偉大なる賢者が残した予言の石板	偉大賢者留下的預言石板。
王の許可証	國王的許可證
王様から与えられた許可証	國王頒發的許可證。
鷲獅子の紋章	獅鷲紋章
グリフォンを象った古代王国のシンボル	鷹頭獅造型的古老王國象徵。
炎の精霊石	火之精靈石
イフリートの力が宿る精霊石。	寄宿著火精靈力量的石頭。
水の精霊石	水之精靈石
ウンディーネの力が宿る精霊石。	寄宿著水精靈力量的石頭。
風の精霊石	風之精靈石
シルフィードの力が宿る精霊石。	寄宿著風精靈力量的石頭。
土の精霊石	土之精靈石
ノームの力が宿る精霊石。	寄宿著土精靈力量的石頭。
魔獣の角	魔獸之角
魔獣を倒した証	擊敗魔獸的證明。
バンダナ	印花大手帕
#防具	#防具
布製のハチマキ	布制纏頭帶
レザーハット	皮帽
動物の皮でつくられた帽子	使用動物皮製成的帽子。
チェインヘルム	鎖鏈頭盔
鉄の鎖で編まれた兜	使用鐵質鎖鏈編織的頭盔。
クレストヘルム	造型頭盔
紋章の刻まれた騎士の兜	刻有紋章的騎士頭盔。
レザーチュニック	皮制束腰外衣
動物の皮でつくられた厚手の服	使用動物皮製成的厚衣服。
チェインメイル	鎖鏈盔甲
鉄の鎖で編まれた鎧	使用鐵質鎖鏈編織的盔甲。
メイジローブ	法袍
MPを増幅する魔法使いのローブ	提升MP的魔法使長袍。
クレストメイル	造型盔甲
紋章の刻まれた騎士の鎧	刻有紋章的騎士鎧甲。
ルーンクロス	符文長袍
レザーグローブ	皮手套
動物の皮でつくられた手袋	使用動物皮製成的手套。
バックラー	小圓盾
攻撃を受け流す小型の盾	抵擋攻擊的小型盾牌。
スパイクシールド	尖盾
表面にトゲのついた円盾	表面帶刺的圓盾
クレストシールド	帶徽章的盾
紋章の刻まれた騎士の盾	刻有徽章的騎士之盾。
盗賊のブーツ	盜賊之靴
素早さと回避率が上がる魔法のブーツ	提升敏捷和回避率的魔法靴子。
虹色の魔除け	彩虹護身符
あらゆる状態異常に強くなる魔除け	提升所有狀態异常抗性的護身符。
精霊の腕輪	精靈手鐲
全属性のダメージを半分にする腕輪	减半全内容傷害的手鐲。
ブラスナックル	指節銅套
拳にはめる格闘武器	套在指節上的格鬥武器。
アイアンハンマー	鐵錘
鋼鉄で作られた重いハンマー	使用鋼鐵製成的重錘。
バトルアクス	戰斧
戦士が好んで使う両刃の斧	戰士喜歡使用的雙刃斧頭。
セージロッド	神聖魔杖
聖属性を秘めた魔法使いの杖	蘊藏聖内容的魔法使之杖。
ポイズンダガー	劇毒短劍
斬りつけた相手を毒にする猛毒のダガー	使斬擊的對象中毒的劇毒短劍。
アイスソード	冰封長劍
氷属性を秘めたロングソード	蘊藏冰内容的長劍。
フレイムナックル	火焰指套
火属性を秘めたナックル	蘊藏火内容的指節銅套。
サンダーアクス	雷霆戰斧
雷属性を秘めたバトルアクス	蘊藏雷内容的戰斧。
レイピア	細劍
細身の剣	細長的劍。
ショートボウ	短弓
扱いやすい狩猟用の小型弓	易於操作的狩獵用小型弓。
モーニングスター	晨星釘頭錘
メイスの一種\n威圧感は抜群である\nこんなもので叩いたら痛そう…	釘頭錘的一種\n威懾力超群\n被打到的話會很痛吧……
槍	槍
一般的な槍\n練度が低い者でも戦力になる	普通的槍\n即使是技能一般的人也能發揮作用。
ヒーリング	治療
味方ひとりのHPを回復する	恢復1名夥伴的HP。
エリアヒール	全員治療
味方全員のHPを回復する	恢復夥伴全員的HP。
キュアポイズン	解毒
味方ひとりの毒を治す	恢復1名夥伴的中毒狀態。
レイズ	復活
味方ひとりを戦闘不能から復活させる	復活1名夥伴。
パワーブースト	攻擊力提升
味方ひとりの攻撃力をアップする	提升1名夥伴的攻擊力。
ブリンクボディ	回避率提升
味方ひとりの回避率をアップする	提升1名夥伴的回避率。
ファイア	火焰
敵一体に火属性のダメージを与える	給予1名敵人火内容的傷害。
アイス	冰凍
敵一体に氷属性のダメージを与える	給予1名敵人冰内容的傷害。
サンダー	雷擊
敵一体に雷属性のダメージを与える	給予1名敵人雷内容的傷害。
ファイアⅡ	火焰Ⅱ
敵全体に火属性のダメージを与える	给予全体敌人火属性的伤害。
アイスⅡ	冰冻Ⅱ
敵全体に氷属性のダメージを与える	给予全体敌人冰属性的伤害。
サンダーⅡ	雷击Ⅱ
敵全体に雷属性のダメージを与える	给予全体敌人雷属性的伤害。
毒牙	毒牙
敵単体に噛みついて毒を与える	撕咬1名敌人并使其中毒。
吸血	吸血
相手のHPを吸収して自分のHPを回復する	吸收对方HP，恢复自身HP。
麻痺にらみ	麻痹凝视
相手を麻痺させる	使对方麻痹。
ファイアブレス	火之吐息
アイスブレス	冰之吐息
サンダーブレス	雷之吐息
アシッドブレス	毒之吐息
敵全体にダメージを与えて防御力もダウンさせる	给予全体敌人伤害，并降低其防御力。
アサシンブレード	暗杀者之刃
相手を即死させる（命中率は低い）	使对方即死(命中率低)。
呪い	诅咒
敵全体のすべての属性耐性を下げる	降低全体敌人的全属性抗性。
グランドシェイク	地震
大地を揺るがし敵全体に大ダメージを与える	撼动大地，给予全体敌人巨大伤害。
ファイヤーエクスプロージョン	烈焰爆破
セクシーアイ	魅惑瞳孔
敵単体を魅了する	使1名敌人进入魅惑状态。
氷	冰
回避率アップ	回避率提升
{0} は回避率がアップした!	{0}的回避率上升了！
{0} の回避率が元に戻った	{0}的回避率恢复了
攻撃力アップ	攻击力提升
{0} は攻撃力がアップした!	{0}的攻击力上升了！
{0} の攻撃力が元に戻った	{0}的攻击力恢复了
耐性ダウン	抗性降低
{0} は全ての耐性がダウンした…	{0}的所有抗性都下降了……
{0} の全ての耐性が元に戻った!	{0}的所有抗性都恢復了！
{0} は毒におかされている…	{0}正受到毒的侵蝕……
{0} は毒におかされている….	{0}正受到毒的侵蝕……
{0} の体から毒が消えた!	毒從{0}身上消失了！
{0} は混乱している…	{0}十分混亂……
{0} は正気に戻った!	{0}清醒過來了！
{0} は惑わされている…	{0}被迷惑了……
{0} は我に返った!	{0}回過神來了！
{0} は体がマヒして動けない!	{0}因麻痹無法動彈！
{0} はマヒが解けた!	{0}從麻痹中恢復了！
{0} は眠っている…	{0}正在睡覺……
{0} は目が覚めた!	{0}醒來了！
瀕死	瀕死
{0} は再び立ち上がった!	{0}又振作起來了！
Coffin- transversely_HD(It_051_Coffin_mat)	Coffin- transversely_HD(It_051_Coffin_mat)
DesertTown - bridge2_HD(DesertTown_mat)	DesertTown - bridge2_HD(DesertTown_mat)
DesertTown - bridge1_HD(DesertTown_mat)	DesertTown - bridge1_HD(DesertTown_mat)
Coffin- transversely_col	Coffin- transversely_col
DesertTown - bridge2_col	DesertTown - bridge2_col
Service Counter Table - corner_HD	Service Counter Table - corner_HD
Service Counter Table - edge_HD	Service Counter Table - edge_HD
Coffin- transversely_HD	Coffin- transversely_HD
DesertTown - bridge2_HD	DesertTown - bridge2_HD
DesertTown - bridge1_HD	DesertTown - bridge1_HD
妖精の光	妖精之光
雲	雲
滝上	瀑布上方
滝下	瀑布下方
日差し	日照
砂煙	沙塵
マグマ	岩漿
火の粉	火花
闇の炎	黑暗火焰
光るパネル	發光面板
蛍の光	螢火蟲光芒
爆発	爆炸
水面の光	水面的光
岩破壊	岩石破壞
鳥	鳥兒
噴水-水	噴泉-水
reservedフォルダにあるデフォルトキャストのデータと見た目上は同じですが、イメージデータは別になっています。このデータに改変を加えてもデフォルトキャストのデータに影響はありません。	此數據在外觀上與reserved資料夾中的默認演員數據相同，但它的影像數據是獨立的。 對此數據的任何修改都不會影響默認演員數據。
木の手すり-端	木扶欄-邊緣
木の手すり-コーナー	木扶欄-拐角
木の手すり	木扶欄
石の手すり-端	石扶欄-邊緣
石の手すり-コーナー	石扶欄-拐角
石の手すり	石扶欄
階段-草01	階梯-草地01
階段-草02	階梯-草地02
階段-泥01	階梯-泥土01
道-草	道路-草地
道-草-行き止まり	道路-草地-盡頭
道-草-コーナー	道路-草地-拐角
道-草-分かれ道	道路-草地-岔路
道-草-十字路	道路-草地-十字路口
道-泥	道路-泥土
道-泥-行き止まり	道路-泥土-盡頭
道-泥-コーナー	道路-泥土-拐角
道-泥-分かれ道	道路-泥土-岔路
道-泥-十字路	道路-泥土-十字路口
窓枠01	窗框01
窓の明かり01	窗戶的燈光01
水瓶	水瓶
階段-遺跡01	階梯-遺跡01
本01	書籍01
本02	書籍02
本03	書籍03
ダンジョン入口	地牢入口
ダンジョン出口	地牢出口
木箱２	木箱2
草-装飾-角	草地-裝潢-角
草-装飾-側面	草地-裝潢-側面
つるA	藤蔓A
つるB	藤蔓B
茂み-大	樹叢-大
茂み	樹叢
光	光
霧	霧氣
湖面の光	湖面的光
お城	城堡
荷馬車	馬車
レンガの家-屋根B	磚房-屋頂B
木のゲート	木栅門
見張り塔	監視塔
レンガの家-壁02	磚房-牆壁02
備蓄食料	儲備食品
水草	水草
水蓮	睡蓮
蓮	蓮花
藁葺きの家-壁02	茅草房-牆壁02
壁時計	壁鐘
木の柵-コーナー	木栅-拐角
木の柵-端	木栅-邊緣
木の柵	木栅
カウンターテーブル	櫃檯
カウンターテーブル-コーナー	櫃檯-拐角
カウンターテーブル-端	櫃檯-邊緣
サボテン	仙人掌
棺桶	棺材
橋２-高	橋2-高
橋２	橋2
木のドア	木門
ドラゴンの像-L	西洋龍雕像-左
ドラゴンの像-R	西洋龍雕像ｰ右
橋	橋
橋-高	橋-高
城門	城門
花-シンプルA	花朵-簡潔A
花-シンプルB	花朵-簡潔B
花-シンプルC	花朵-簡潔C
柱	柱
ドア１	門1
ドア２	門2
立て看板	立式招牌
石畳み	石板地面
教会	教堂
切り株	樹樁
教会のドア	教堂的門
瓦礫	瓦礫
はしご	梯子
石の橋	石橋
石の橋-長	石橋-長
剣立て	劍架
王座	王座
木の橋	木橋
天球儀	天球儀
噴水	噴泉
お城-旗	城堡-旗幟
お城-小	城堡-小
風車小屋-小	風車小屋-小
風車小屋-大	風車小屋-大
レンガの家-A	磚房-A
レンガの家-B	磚房-B
レンガの家01	磚房01
置き看板-宿屋	立式招牌-旅店
置き看板-道具屋	立式招牌-道具店
置き看板-武器屋	立式招牌-武器店
置き看板-防具屋	立式招牌-防具店
置き看板-無地	立式招牌-素色
レンガの家-ドア	磚房-門
レンガの家-柱	磚房-柱子
レンガの家-壁03	磚房-牆壁03
藁葺きの家-A	茅草房-A
藁葺きの家-B	茅草房-B
藁葺きの家-屋根B	茅草房-屋頂B
藁葺きの家-柱	茅草房-柱子
藁葺きの家-壁03	茅草房-牆壁03
藁葺きの家01	茅草房01
木の家-A	木屋-A
木の家-B	木屋-B
木の家-屋根B	木屋-屋頂B
木の家-柱	木屋-柱子
木の家-壁02	木屋-牆壁02
木の家-壁03	木屋-牆壁03
木の家01	木屋01
木の柵A	木柵欄A
木の柵B	木柵欄B
木の柵C	木柵欄C
木の柵D	木柵欄D
木の柵E	木柵欄E
木の柵F	木柵欄F
木の柵G	木柵欄G
キッチン	廚房
キッチンセット	廚房套組
カップ	杯子
包丁	菜刀
まな板	砧板
空きビン１	空瓶1
空きビン２	空瓶2
深鍋	深鍋
深鍋-料理	深鍋-料理
鍋	鍋
フライパン	平底鍋
棚	架子
テーブル	餐桌
白い皿	白色盤子
白い皿-オーバル	白色盤子-橢圓形
白い皿-ラウンド	白色盤子-圓形
木の皿	木盤子
木の皿-オーバル	木盤子-橢圓形
木の皿-ラウンド	木盤子-圓形
銀の皿	銀盤子
銀の皿-オーバル	銀盤子-橢圓形
銀の皿-ラウンド	銀盤子-圓形
書類	文件
地図	地圖
巻物	卷軸
キャンドルスタンド-卓上	燭臺-桌上
キャンドルスタンド-手持ち	燭臺-手持
キャンドルスタンド-壁掛け	燭臺-壁掛
ロウソクの火	燭火
絨毯	地毯
絵画-女性	畫-女性
絵画-風景	畫-風景
絵画-地図	畫-地圖
ピアノ	鋼琴
ピアノ椅子	鋼琴椅
トマト	蕃茄
トマト_ザル	蕃茄-竹籃
トマト_箱	蕃茄-箱
ニンジン	胡蘿蔔
ニンジン_ザル	胡蘿蔔-竹籃
ニンジン_箱	胡蘿蔔-箱
ジャガイモ	馬鈴薯
ジャガイモ_ザル	馬鈴薯-竹籃
ジャガイモ_箱	馬鈴薯-箱
ズッキーニ	西葫蘆
ズッキーニ_ザル	西葫蘆-竹籃
ズッキーニ_箱	西葫蘆-箱
ロッキングチェア	搖椅
リンゴ	蘋果
パン	麵包
木のコップ	木杯
ワイングラス	葡萄酒杯
鉄のコップ	鐵杯
酒瓶	酒瓶
ワイン	葡萄酒
マグカップ	馬克杯
ビールジョッキ	啤酒杯
ティーポット	茶壺
ポット	燒水壺
壁棚１セット	壁架1套組
壁棚１	壁架1
壁棚２セット	壁架2套組
壁棚２	壁架2
壁棚３セット	壁架3套組
壁棚３	壁架3
リュック	登山背包
マリンバッグ	手提包
ランタン-点灯	提燈-亮
ランタン	提燈
ベッド1	床1
ベッド2	床2
ソファ	沙發
ソファ-一人掛け用	沙發-單人用
木の丸テーブル	木制圓桌
木の丸椅子	木制圓椅
鉢植え１	盆栽1
鉢植え２	盆栽2
植木鉢１	花盆1
植木鉢１-植木	花盆1-栽種
植木鉢２	花盆2
植木鉢２-植木	花盆2-栽種
骸骨	骷髏
金の像	金像
石像	石像
石の棺	石棺
クリスタル	水晶
財宝	財寶
街灯	街燈
木箱１	木箱1
キノコ１	蘑菇1
キノコ２	蘑菇2
キノコ３	蘑菇3
広葉樹	闊葉樹
広葉樹-紅葉	闊葉樹-紅葉
広葉樹-果実	闊葉樹-果實
針葉樹	針葉樹
針葉樹-枯れ	針葉樹-枯萎
熱帯樹A	熱帶樹A
熱帯樹B	熱帶樹B
ツルA	藤蔓A
ツルB	藤蔓B
ツルＣ　	藤蔓C
ツルD	藤蔓D
ツルE	藤蔓E
ツルF	藤蔓F
熱帯植物A	熱帶植物A
熱帯植物B	熱帶植物B
亜熱帯樹A	亞熱帶樹A
亜熱帯樹B	亞熱帶樹B
バナナの木	香蕉樹
バナナの木-実なし	香蕉樹-無果
花１A	花1A
花３A	花3A
花３B	花3B
花３C	花3C
草A	草A
草B	草B
草C	草C
枯草A	枯草A
枯草B	枯草B
枯草C	枯草C
小麦	小麥
小麦-黄金	小麥-黃金
シダ植物１	蕨類植物1
シダ植物２	蕨類植物2
シダ植物３	蕨類植物3
花２A	花2A
花２B	花2B
花２C	花2C
広葉樹-デフォルメ	闊葉樹-變形
広葉樹-デフォルメ-果実	闊葉樹-變形-果實
広葉樹-デフォルメ-紅葉	闊葉樹-變形-紅葉
針葉樹-デフォルメ	針葉樹-變形
針葉樹-デフォルメ_枯れ木	針葉樹-變形-枯木
生垣A	樹籬A
生垣B	樹籬B
生垣C	樹籬C
生垣D	樹籬D
石A	石頭A
石B	石頭B
石C	石頭C
石D	石頭D
石E	石頭E
石F	石頭F
石-コケA	石頭-苔蘚A
石-コケB	石頭-苔蘚B
石-コケC	石頭-苔蘚C
石-コケD	石頭-苔蘚D
石-コケE	石頭-苔蘚E
石-コケF	石頭-苔蘚F
石-コケ大A	石頭-大苔蘚A
石-コケ大B	石頭-大苔蘚B
石-コケ大C	石頭-大苔蘚C
石-コケ大D	石頭-大苔蘚D
石-コケ大E	石頭-大苔蘚E
石-コケ大F	石頭-大苔蘚F
岩A	岩石A
岩B	岩石B
岩C	岩石C
岩D	岩石D
岩E	岩石E
岩F	岩石F
岩-コケA	岩石-苔蘚A
岩-コケB	岩石-苔蘚B
岩-コケC	岩石-苔蘚C
岩-コケD	岩石-苔蘚D
岩-コケE	岩石-苔蘚E
岩-コケF	岩石-苔蘚F
岩-コケ大A	岩石-大苔蘚A
岩-コケ大B	岩石-大苔蘚B
岩-コケ大C	岩石-大苔蘚C
岩-コケ大D	岩石-大苔蘚D
岩-コケ大E	岩石-大苔蘚E
岩-コケ大F	岩石-大苔蘚F
バルコニー01パーツ-b	陽臺01部件-b
バルコニー01パーツ-c	陽臺01部件-c
バルコニー02パーツ-b	陽臺01部件-b
バルコニー02パーツ-c	陽臺02部件-c
バルコニー01	陽臺01
バルコニー02	陽臺02
バルコニー01パーツ-a	陽臺01部件-a
バルコニー02パーツ-a	陽臺02部件-a
窓01	窗戶01
窓02	窗戶02
窓03	窗戶03
窓04	窗戶04
窓06	窗戶06
窓07	窗戶07
窓08	窗戶08
窓09	窗戶09
窓10	窗戶10
窓11	窗戶11
木	樹木
木_紅葉	樹木_紅葉
細めの木	細長樹木
細めの木_紅葉	細長樹木_紅葉
地形01a	地形01a
地形01b	地形01b
地形01c	地形01c
地形01d	地形01d
大きな地形01	大地形01
雨	雨
雪	雪
炎	火
煙	烟
紙ふぶき	飛舞的紙片
花火	焰火
レンガの家-屋根A	磚房-屋頂A
レンガの家-壁01	磚房-牆壁01
レンガの家03	磚房03
藁葺きの家-ドア	茅草房-門
藁葺きの家-屋根A	茅草房-屋頂A
藁葺きの家-壁01	茅草房-牆壁01
藁葺きの家03	茅草房03
木の家-ドア	木屋-門
木の家-屋根A	木屋-屋頂A
木の家-壁01	木屋-牆壁01
木の家03	木屋03
花１B	花1B
花１C	花1C
窓05	窗戶05
タンス１	櫃子1
タンス２	櫃子2
本棚01	書架01
本棚02	書架02
選択中	選擇中
待機中	待機中
メニューアニメ用	選單動畫用
メニューカーソル	選單光標
タイトルカーソル	標題光標
テキストカーソル	文字光標
テキストカーソル_黒	文字光標_黑色
建物パーツ	建築物部件
柵	柵欄
屋外	室外
道	道路
窓	窗戶
家具	傢俱
屋内	室內
小物	小型物品
建物	建築
背景物	背景物
草	草
植物	植物
自然	自然
パーティクル	粒子
レンガの家-パーツ	磚房-部件
レイアウト関連画像	佈局相關影像
水生植物	水生植物
藁葺きの家-パーツ	茅草房-部件
熱帯植物	熱帶植物
ドア	門
花	花
レイアウト用スプライト	佈局用精靈
木の家-パーツ	木屋-部件
食べ物	食物
植木鉢_サブグラフィック	花盆_子圖形
遺跡	遺跡
キノコ	蘑菇
シダ植物	蕨類植物
石	石頭
岩・石・地形	岩石/石頭/地形
岩	岩石
バルコニー	陽臺
地形	地形
遠景	遠景
黒魔術師	黑魔法師
