お金が足りない...	没有足够的金钱…
{0}は魅了されている！	{0}处于魅惑状态！
{0}は混乱から回復した！	{0}从混乱状态中恢复了！
{0}は立ち上がった！	{0}振作了起来！
{0}は魅了から回復した！	{0}从魅惑状态中恢复了！
{0}は麻痺から回復した！	{0}从麻痹状态中恢复了！
{0}は毒から回復した！	{0}从中毒状态中恢复了！
{0}は目を覚ました！	{0}醒来了！
逃げることができなかった！	逃脱失败！
アイテム袋がいっぱいです。	物品袋已满。
どのアイテムを捨てますか？	要丢弃哪些物品？
{0}をすべて捨てます。よろしいですか？	确认丢弃{0}吗？
{0}をあきらめる	放弃{0}
アイテムが一杯のため、装備が外せませんでした。	由于物品袋已满，无法卸除装备。
属性	属性
使用する対象を選んでください	请选择使用目标
合計{0}種類	总计{0}种
ニックネーム	昵称
{0}は状態7になった！	{0}进入状态7！
{0}は状態8になった！	{0}进入状态8！
{0}は状態7から回復した！	{0}从状态7中恢复了！
{0}は状態8から回復した！	{0}从状态8中恢复了！
先制した！	先发制人！
先制された！？	被抢先了？！
同行メンバー	同行成员
交代	替换
そのまま	保持原状
モンスター	怪物
相手が新しいモンスターを出そうとしてる！	对手试图唤出新的怪物！
どのモンスターを出しますか？	要唤出哪只怪物？
{0}は{1}を使った	{0}使用了{1}！
{0}の捕獲に成功！	成功捕获{0}！
{0}に逃げられた……	{0}逃跑了……
新手のモンスターの気配がする！	发现了新一波怪物的迹象！
しかし{0}が足りなかった！	但是{0}不够！
セーブデータ無し	暂无保存数据
空き	空白
{0}が現れた！	{0}出现了！
誰と場所を入れ替えますか？	和谁替换位置？
貴重品	贵重物品
????	????
∞	∞
毒ダメージ軽減率	毒害降低率
会話シーン	对话场景
攻撃	攻击
防御	防御
戦う	战斗
通常攻撃	普通攻击
勇者A	勇者A
勇者B	勇者B
エルフA	精灵A
エルフB	精灵B
格闘家A	格斗家A
格闘家B	格斗家B
白魔導士	白魔导士
黒魔導士	黑魔导士
神官A	神官A
神官B	神官B
大魔導士	大魔导士
王族A	王族A
王族B	王族B
王族C	王族C
王族D	王族D
大臣	大臣
隊長	队长
兵士	士兵
賢者	贤者
村人A	村民A
村人B	村民B
村人C	村民C
村人D	村民D
子供A	儿童A
子供B	儿童B
ハウスキーパー	管家
店員A	店员A
店員B	店员B
商人A	商人A
商人B	商人B
船乗り	船员
海賊	海盗
悪魔の騎士	恶魔骑士
スライム	滑板
ゴブリン	哥布林
ガイコツ	骸骨
狼	狼
犬	狗
猫A	猫A
猫B	猫B
小鳥	小鸟
スライムラヴァ	熔岩史莱姆
キラービー	杀人蜂
オオコウモリ	巨型蝙蝠
カニバルフラワー	食人花
コーラルスネーク	珊瑚蛇
キングコブラ	眼镜王蛇
サンドスネーク	沙蛇
ボスゴブリン	哥布林老大
ダイアウルフ	恐狼
ゾンビ	僵尸
スケルトンファイター	骷髅战士
サキュバス	女魅魔
ウィザード	巫师
メイジ	法师
エレメント	元素
ウィルオーウィスプ	鬼火
盗賊	盗贼
ゴーレム	魔像
メタルゴーレム	金属魔像
大魔道士	大魔道士
ドロドロした粘液状態のモンスター。知性を持たない。	黏糊糊的怪物，不具有智能。
高熱の溶岩地域に住む、ドロドロした粘液状態のモンスター。知性を持たない。	栖息在高温熔岩地区的黏糊糊的怪物，不具有智能。
群れを成して襲い来る毒バチ。	成群袭击的毒蜂。
暗闇を好む吸血コウモリ。	喜暗的吸血蝙蝠。
魔力の高い土地に咲く人食い花	食人花，绽放于魔力富足的土地之上。
溶岩地帯にすむ毒蛇。炎属性の魔法はあまり効かない。	栖息于熔岩地带的毒蛇，火魔法抗性极高。
猛毒を持つ大型の蛇。\n	毒性极强的大型蛇类。
砂漠に住む毒蛇。	栖息在沙漠中的毒蛇。
小柄な緑色の鬼。	身材短小的绿色鬼怪。
ゴブリンの中でも特に屈強な個体。	哥布林中特别强壮的个体。
硬く輝く毛皮を持つ狼。	毛皮锃亮而坚韧的狼。
闇の力で動く死体。	凭借黑暗力量活动的尸体。
骨の髄まで闘いが染みついてしまった戦士のむくろ。	战斗欲望早已浸透骨髓的战士亡骸。
喜びの死を招く魔物。	招致喜悦之死的魔物。
魔術を操る意義までは理解できなかった者。	无法理解到操控魔法意义层面上的人。
闇に落ちた魔法学者のなれの果て。	魔法学者堕入黑暗后的结局。
この世に未練を残した死者の魂。	在世上留下遗憾的死者灵魂。
醜い情念の炎をまとった死者の魂。	笼罩着丑陋激情之火的死者灵魂。
旅人を狙って金品を奪う荒くれ者。	以旅行者为目标，抢夺钱财的流氓。
土から生まれ、土にかえる心無き人造人間。	生于土，归于土的无心人造人。
魔力で動く金属の人形。	由魔法驱动的金属人偶。
闇の力を操る魔法使い。	操控黑暗力量的魔法使。
剣士	剑士
神官	神官
魔法使い	魔法使
ビーストテイマー	驯兽师
ナイフ	小刀
#武器	#武器
父から誕生日にもらった、小ぶりのナイフ。	生日那天从父亲那里得到的小刀。
精霊の剣	精灵之剑
勇者の資質がないと、手に持つことすらできない精霊の剣。	没有勇者的资质，就无法举起的精灵之剑。
薬草	药草
HPを回復する薬草。ちょっと苦い。	恢复HP的药草。有点苦。
ポーション	药水
HPをかなり回復する飲み薬。少し甘い。	恢复大量HP的药水。有点甜。
マジックハーブ	神奇药草
MPを回復する薬草。かなり苦い。	恢复MP的药草。相当苦。
マジックポーション	神奇药水
MPをかなり回復する飲み薬。結構甘い。	恢复大量MP的药水。非常甜。
フルポーション	全恢复药水
HPとMPだけでなく、怪我も完全回復する秘薬。	一种能完全恢复HP、MP，乃至伤势的秘药。
毒消しハーブ	解毒药草
毒を治す薬草。微妙な味。	治疗中毒状态的药草。味道难以言喻。
ディスペルハーブ	解除药草
状態異常を治す薬草。ピリ辛。	治疗异常状态的草药。火辣辣的。
パワフルきのこ	强力蘑菇
すべての能力の最大値をアップさせる不思議なきのこ。	神秘的蘑菇，能够提升所有能力的最大值。
精霊の宝珠	精灵宝珠
精霊女王の力が宿る宝珠。世界に８つあるらしい。	蕴含着精灵女王力量的宝珠。据说世界中一共有8颗。
復活の羽	复活羽毛
戦闘不能を治す不死鳥の羽	起死回生的凤凰羽毛。
炎の呪文書	火之咒语书
ファイアの魔法が発動する書物	发动火魔法的书籍。
幻影の呪文書	幻影咒语书
ブリンクボディの魔法が発動する書物	发动身影闪移魔法的书籍。
青銅のカギ	青铜钥匙
銅で作られた粗末なカギ	铜制的劣质钥匙。
白銀のカギ	银钥匙
銀で作られた立派なカギ	银制的好钥匙。
黄金のカギ	金钥匙
金で作られた豪華なカギ	金制的华丽钥匙。
古代のカギ	古代钥匙
ぼろぼろに朽ちたカギ	破旧不堪的钥匙。
カードキー	卡片钥匙
謎の金属で作られた板	神秘金属制成的板。
村長の手紙	村长的信
村長の話を聞くともらえる手紙	听完村长的话之后可获得的信。
冒険者の証	冒险者之证
冒険者として認められた証	作为冒险者被认可的证明。
村人の依頼書1	村民的委托书1
村人からの依頼内容が書かれた紙	写着村民委托内容的纸。
村人の依頼書2	村民的委托书2
村人の依頼書3	村民的委托书3
月光草	月光草
あらゆる病気を治す幻の花	治愈百病的梦幻花朵。
古文書	古代书籍
古代魔法語で書かれた謎の書物	使用古代魔法语言撰写的书籍。
ギルドの依頼書1	公会委托书1
ギルドからの依頼内容が書かれた紙	写有公会委托内容的纸。
ギルドの依頼書2	公会委托书2
ギルドの依頼書3	公会委托书3
賢者の石板	贤者石板
偉大なる賢者が残した予言の石板	伟大贤者留下的预言石板。
王の許可証	国王的许可证
王様から与えられた許可証	国王颁发的许可证。
鷲獅子の紋章	狮鹫纹章
グリフォンを象った古代王国のシンボル	鹰头狮造型的古老王国象征。
炎の精霊石	火之精灵石
イフリートの力が宿る精霊石。	寄宿着火精灵力量的石头。
水の精霊石	水之精灵石
ウンディーネの力が宿る精霊石。	寄宿着水精灵力量的石头。
風の精霊石	风之精灵石
シルフィードの力が宿る精霊石。	寄宿着风精灵力量的石头。
土の精霊石	土之精灵石
ノームの力が宿る精霊石。	寄宿着土精灵力量的石头。
魔獣の角	魔兽之角
魔獣を倒した証	击败魔兽的证明。
バンダナ	印花大手帕
#防具	#防具
布製のハチマキ	布制缠头带
レザーハット	皮帽
動物の皮でつくられた帽子	使用动物皮制成的帽子。
チェインヘルム	锁链头盔
鉄の鎖で編まれた兜	使用铁质锁链编织的头盔。
クレストヘルム	造型头盔
紋章の刻まれた騎士の兜	刻有纹章的骑士头盔。
レザーチュニック	皮制束腰外衣
動物の皮でつくられた厚手の服	使用动物皮制成的厚衣服。
チェインメイル	锁链盔甲
鉄の鎖で編まれた鎧	使用铁质锁链编织的盔甲。
メイジローブ	法袍
MPを増幅する魔法使いのローブ	提升MP的魔法使长袍。
クレストメイル	造型盔甲
紋章の刻まれた騎士の鎧	刻有纹章的骑士铠甲。
ルーンクロス	符文长袍
レザーグローブ	皮手套
動物の皮でつくられた手袋	使用动物皮制成的手套。
バックラー	小圆盾
攻撃を受け流す小型の盾	抵挡攻击的小型盾牌。
スパイクシールド	尖盾
表面にトゲのついた円盾	表面带刺的圆盾
クレストシールド	带徽章的盾
紋章の刻まれた騎士の盾	刻有徽章的骑士之盾。
盗賊のブーツ	盗贼之靴
素早さと回避率が上がる魔法のブーツ	提升敏捷和回避率的魔法靴子。
虹色の魔除け	彩虹护身符
あらゆる状態異常に強くなる魔除け	提升所有状态异常抗性的护身符。
精霊の腕輪	精灵手镯
全属性のダメージを半分にする腕輪	减半全属性伤害的手镯。
ブラスナックル	指节铜套
拳にはめる格闘武器	套在指节上的格斗武器。
アイアンハンマー	铁锤
鋼鉄で作られた重いハンマー	使用钢铁制成的重锤。
バトルアクス	战斧
戦士が好んで使う両刃の斧	战士喜欢使用的双刃斧头。
セージロッド	神圣魔杖
聖属性を秘めた魔法使いの杖	蕴藏圣属性的魔法使之杖。
ポイズンダガー	剧毒短剑
斬りつけた相手を毒にする猛毒のダガー	使斩击的对象中毒的剧毒短剑。
アイスソード	冰封长剑
氷属性を秘めたロングソード	蕴藏冰属性的长剑。
フレイムナックル	火焰指套
火属性を秘めたナックル	蕴藏火属性的指节铜套。
サンダーアクス	雷霆战斧
雷属性を秘めたバトルアクス	蕴藏雷属性的战斧。
レイピア	细剑
細身の剣	细长的剑。
ショートボウ	短弓
扱いやすい狩猟用の小型弓	易于操作的狩猎用小型弓。
モーニングスター	晨星钉头锤
メイスの一種\n威圧感は抜群である\nこんなもので叩いたら痛そう…	钉头锤的一种\n威慑力超群\n被打到的话会很痛吧……
槍	枪
一般的な槍\n練度が低い者でも戦力になる	普通的枪\n即使是技能一般的人也能发挥作用。
ヒーリング	治疗
味方ひとりのHPを回復する	恢复1名伙伴的HP。
エリアヒール	全员治疗
味方全員のHPを回復する	恢复伙伴全员的HP。
キュアポイズン	解毒
味方ひとりの毒を治す	恢复1名伙伴的中毒状态。
レイズ	复活
味方ひとりを戦闘不能から復活させる	复活1名伙伴。
パワーブースト	攻击力提升
味方ひとりの攻撃力をアップする	提升1名伙伴的攻击力。
ブリンクボディ	回避率提升
味方ひとりの回避率をアップする	提升1名伙伴的回避率。
ファイア	火焰
敵一体に火属性のダメージを与える	给予1名敌人火属性的伤害。
アイス	冰冻
敵一体に氷属性のダメージを与える	给予1名敌人冰属性的伤害。
サンダー	雷击
敵一体に雷属性のダメージを与える	给予1名敌人雷属性的伤害。
ファイアⅡ	火焰Ⅱ
敵全体に火属性のダメージを与える	给予全体敌人火属性的伤害。
アイスⅡ	冰冻Ⅱ
敵全体に氷属性のダメージを与える	给予全体敌人冰属性的伤害。
サンダーⅡ	雷击Ⅱ
敵全体に雷属性のダメージを与える	给予全体敌人雷属性的伤害。
毒牙	毒牙
敵単体に噛みついて毒を与える	撕咬1名敌人并使其中毒。
吸血	吸血
相手のHPを吸収して自分のHPを回復する	吸收对方HP，恢复自身HP。
麻痺にらみ	麻痹凝视
相手を麻痺させる	使对方麻痹。
ファイアブレス	火之吐息
アイスブレス	冰之吐息
サンダーブレス	雷之吐息
アシッドブレス	毒之吐息
敵全体にダメージを与えて防御力もダウンさせる	给予全体敌人伤害，并降低其防御力。
アサシンブレード	暗杀者之刃
相手を即死させる（命中率は低い）	使对方即死(命中率低)。
呪い	诅咒
敵全体のすべての属性耐性を下げる	降低全体敌人的全属性抗性。
グランドシェイク	地震
大地を揺るがし敵全体に大ダメージを与える	撼动大地，给予全体敌人巨大伤害。
ファイヤーエクスプロージョン	烈焰爆破
セクシーアイ	魅惑瞳孔
敵単体を魅了する	使1名敌人进入魅惑状态。
氷	冰
回避率アップ	回避率提升
{0} は回避率がアップした!	{0}的回避率上升了！
{0} の回避率が元に戻った	{0}的回避率恢复了
攻撃力アップ	攻击力提升
{0} は攻撃力がアップした!	{0}的攻击力上升了！
{0} の攻撃力が元に戻った	{0}的攻击力恢复了
耐性ダウン	抗性降低
{0} は全ての耐性がダウンした…	{0}的所有抗性都下降了……
{0} の全ての耐性が元に戻った!	{0}的所有抗性都恢复了！
{0} は毒におかされている…	{0}正受到毒的侵蚀……
{0} は毒におかされている….	{0}正受到毒的侵蚀……
{0} の体から毒が消えた!	毒从{0}身上消失了！
{0} は混乱している…	{0}十分混乱……
{0} は正気に戻った!	{0}清醒过来了！
{0} は惑わされている…	{0}被迷惑了……
{0} は我に返った!	{0}回过神来了！
{0} は体がマヒして動けない!	{0}因麻痹无法动弹！
{0} はマヒが解けた!	{0}从麻痹中恢复了！
{0} は眠っている…	{0}正在睡觉……
{0} は目が覚めた!	{0}醒来了！
瀕死	濒死
{0} は再び立ち上がった!	{0}又振作起来了！
Coffin- transversely_HD(It_051_Coffin_mat)	Coffin- transversely_HD(It_051_Coffin_mat)
DesertTown - bridge2_HD(DesertTown_mat)	DesertTown - bridge2_HD(DesertTown_mat)
DesertTown - bridge1_HD(DesertTown_mat)	DesertTown - bridge1_HD(DesertTown_mat)
Coffin- transversely_col	Coffin- transversely_col
DesertTown - bridge2_col	DesertTown - bridge2_col
Service Counter Table - corner_HD	Service Counter Table - corner_HD
Service Counter Table - edge_HD	Service Counter Table - edge_HD
Coffin- transversely_HD	Coffin- transversely_HD
DesertTown - bridge2_HD	DesertTown - bridge2_HD
DesertTown - bridge1_HD	DesertTown - bridge1_HD
妖精の光	妖精之光
雲	云
滝上	瀑布上方
滝下	瀑布下方
日差し	日照
砂煙	沙尘
マグマ	岩浆
火の粉	火花
闇の炎	黑暗火焰
光るパネル	发光面板
蛍の光	萤火虫光芒
爆発	爆炸
水面の光	水面的光
岩破壊	岩石破坏
鳥	鸟儿
噴水-水	喷泉-水
reservedフォルダにあるデフォルトキャストのデータと見た目上は同じですが、イメージデータは別になっています。このデータに改変を加えてもデフォルトキャストのデータに影響はありません。	此数据在外观上与reserved文件夹中的默认演员数据相同，但它的图像数据是独立的。对此数据的任何修改都不会影响默认演员数据。
木の手すり-端	木扶栏-边缘
木の手すり-コーナー	木扶栏-拐角
木の手すり	木扶栏
石の手すり-端	石扶栏-边缘
石の手すり-コーナー	石扶栏-拐角
石の手すり	石扶栏
階段-草01	阶梯-草地01
階段-草02	阶梯-草地02
階段-泥01	阶梯-泥土01
道-草	道路-草地
道-草-行き止まり	道路-草地-尽头
道-草-コーナー	道路-草地-拐角
道-草-分かれ道	道路-草地-岔路
道-草-十字路	道路-草地-十字路口
道-泥	道路-泥土
道-泥-行き止まり	道路-泥土-尽头
道-泥-コーナー	道路-泥土-拐角
道-泥-分かれ道	道路-泥土-岔路
道-泥-十字路	道路-泥土-十字路口
窓枠01	窗框01
窓の明かり01	窗户的灯光01
水瓶	水瓶
階段-遺跡01	阶梯-遗迹01
本01	书籍01
本02	书籍02
本03	书籍03
ダンジョン入口	地牢入口
ダンジョン出口	地牢出口
木箱２	木箱2
草-装飾-角	草地-装饰-角
草-装飾-側面	草地-装饰-侧面
つるA	藤蔓A
つるB	藤蔓B
茂み-大	树丛-大
茂み	树丛
光	光
霧	雾气
湖面の光	湖面的光
お城	城堡
荷馬車	马车
レンガの家-屋根B	砖房-屋顶B
木のゲート	木栅门
見張り塔	监视塔
レンガの家-壁02	砖房-墙壁02
備蓄食料	储备食品
水草	水草
水蓮	睡莲
蓮	莲花
藁葺きの家-壁02	茅草房-墙壁02
壁時計	壁钟
木の柵-コーナー	木栅-拐角
木の柵-端	木栅-边缘
木の柵	木栅
カウンターテーブル	柜台
カウンターテーブル-コーナー	柜台-拐角
カウンターテーブル-端	柜台-边缘
サボテン	仙人掌
棺桶	棺材
橋２-高	桥2-高
橋２	桥2
木のドア	木门
ドラゴンの像-L	西洋龙雕像-左
ドラゴンの像-R	西洋龙雕像ｰ右
橋	桥
橋-高	桥-高
城門	城门
花-シンプルA	花朵-简洁A
花-シンプルB	花朵-简洁B
花-シンプルC	花朵-简洁C
柱	柱
ドア１	门1
ドア２	门2
立て看板	立式招牌
石畳み	石板地面
教会	教堂
切り株	树桩
教会のドア	教堂的门
瓦礫	瓦砾
はしご	梯子
石の橋	石桥
石の橋-長	石桥-长
剣立て	剑架
王座	王座
木の橋	木桥
天球儀	天球仪
噴水	喷泉
お城-旗	城堡-旗帜
お城-小	城堡-小
風車小屋-小	风车小屋-小
風車小屋-大	风车小屋-大
レンガの家-A	砖房-A
レンガの家-B	砖房-B
レンガの家01	砖房01
置き看板-宿屋	立式招牌-旅店
置き看板-道具屋	立式招牌-道具店
置き看板-武器屋	立式招牌-武器店
置き看板-防具屋	立式招牌-防具店
置き看板-無地	立式招牌-素色
レンガの家-ドア	砖房-门
レンガの家-柱	砖房-柱子
レンガの家-壁03	砖房-墙壁03
藁葺きの家-A	茅草房-A
藁葺きの家-B	茅草房-B
藁葺きの家-屋根B	茅草房-屋顶B
藁葺きの家-柱	茅草房-柱子
藁葺きの家-壁03	茅草房-墙壁03
藁葺きの家01	茅草房01
木の家-A	木屋-A
木の家-B	木屋-B
木の家-屋根B	木屋-屋顶B
木の家-柱	木屋-柱子
木の家-壁02	木屋-墙壁02
木の家-壁03	木屋-墙壁03
木の家01	木屋01
木の柵A	木栅栏A
木の柵B	木栅栏B
木の柵C	木栅栏C
木の柵D	木栅栏D
木の柵E	木栅栏E
木の柵F	木栅栏F
木の柵G	木栅栏G
キッチン	厨房
キッチンセット	厨房套组
カップ	杯子
包丁	菜刀
まな板	砧板
空きビン１	空瓶1
空きビン２	空瓶2
深鍋	深锅
深鍋-料理	深锅-料理
鍋	锅
フライパン	平底锅
棚	架子
テーブル	餐桌
白い皿	白色盘子
白い皿-オーバル	白色盘子-椭圆形
白い皿-ラウンド	白色盘子-圆形
木の皿	木盘子
木の皿-オーバル	木盘子-椭圆形
木の皿-ラウンド	木盘子-圆形
銀の皿	银盘子
銀の皿-オーバル	银盘子-椭圆形
銀の皿-ラウンド	银盘子-圆形
書類	文件
地図	地图
巻物	卷轴
キャンドルスタンド-卓上	烛台-桌上
キャンドルスタンド-手持ち	烛台-手持
キャンドルスタンド-壁掛け	烛台-壁挂
ロウソクの火	烛火
絨毯	地毯
絵画-女性	画-女性
絵画-風景	画-风景
絵画-地図	画-地图
ピアノ	钢琴
ピアノ椅子	钢琴椅
トマト	番茄
トマト_ザル	番茄-竹篮
トマト_箱	番茄-箱
ニンジン	胡萝卜
ニンジン_ザル	胡萝卜-竹篮
ニンジン_箱	胡萝卜-箱
ジャガイモ	马铃薯
ジャガイモ_ザル	马铃薯-竹篮
ジャガイモ_箱	马铃薯-箱
ズッキーニ	西葫芦
ズッキーニ_ザル	西葫芦-竹篮
ズッキーニ_箱	西葫芦-箱
ロッキングチェア	摇椅
リンゴ	苹果
パン	面包
木のコップ	木杯
ワイングラス	葡萄酒杯
鉄のコップ	铁杯
酒瓶	酒瓶
ワイン	葡萄酒
マグカップ	马克杯
ビールジョッキ	啤酒杯
ティーポット	茶壶
ポット	烧水壶
壁棚１セット	壁架1套组
壁棚１	壁架1
壁棚２セット	壁架2套组
壁棚２	壁架2
壁棚３セット	壁架3套组
壁棚３	壁架3
リュック	登山背包
マリンバッグ	手提包
ランタン-点灯	提灯-亮
ランタン	提灯
ベッド1	床1
ベッド2	床2
ソファ	沙发
ソファ-一人掛け用	沙发-单人用
木の丸テーブル	木制圆桌
木の丸椅子	木制圆椅
鉢植え１	盆栽1
鉢植え２	盆栽2
植木鉢１	花盆1
植木鉢１-植木	花盆1-栽种
植木鉢２	花盆2
植木鉢２-植木	花盆2-栽种
骸骨	骷髅
金の像	金像
石像	石像
石の棺	石棺
クリスタル	水晶
財宝	财宝
街灯	街灯
木箱１	木箱1
キノコ１	蘑菇1
キノコ２	蘑菇2
キノコ３	蘑菇3
広葉樹	阔叶树
広葉樹-紅葉	阔叶树-红叶
広葉樹-果実	阔叶树-果实
針葉樹	针叶树
針葉樹-枯れ	针叶树-枯萎
熱帯樹A	热带树A
熱帯樹B	热带树B
ツルA	藤蔓A
ツルB	藤蔓B
ツルＣ　	藤蔓C
ツルD	藤蔓D
ツルE	藤蔓E
ツルF	藤蔓F
熱帯植物A	热带植物A
熱帯植物B	热带植物B
亜熱帯樹A	亚热带树A
亜熱帯樹B	亚热带树B
バナナの木	香蕉树
バナナの木-実なし	香蕉树-无果
花１A	花1A
花３A	花3A
花３B	花3B
花３C	花3C
草A	草A
草B	草B
草C	草C
枯草A	枯草A
枯草B	枯草B
枯草C	枯草C
小麦	小麦
小麦-黄金	小麦-黄金
シダ植物１	蕨类植物1
シダ植物２	蕨类植物2
シダ植物３	蕨类植物3
花２A	花2A
花２B	花2B
花２C	花2C
広葉樹-デフォルメ	阔叶树-变形
広葉樹-デフォルメ-果実	阔叶树-变形-果实
広葉樹-デフォルメ-紅葉	阔叶树-变形-红叶
針葉樹-デフォルメ	针叶树-变形
針葉樹-デフォルメ_枯れ木	针叶树-变形-枯木
生垣A	树篱A
生垣B	树篱B
生垣C	树篱C
生垣D	树篱D
石A	石头A
石B	石头B
石C	石头C
石D	石头D
石E	石头E
石F	石头F
石-コケA	石头-苔藓A
石-コケB	石头-苔藓B
石-コケC	石头-苔藓C
石-コケD	石头-苔藓D
石-コケE	石头-苔藓E
石-コケF	石头-苔藓F
石-コケ大A	石头-大苔藓A
石-コケ大B	石头-大苔藓B
石-コケ大C	石头-大苔藓C
石-コケ大D	石头-大苔藓D
石-コケ大E	石头-大苔藓E
石-コケ大F	石头-大苔藓F
岩A	岩石A
岩B	岩石B
岩C	岩石C
岩D	岩石D
岩E	岩石E
岩F	岩石F
岩-コケA	岩石-苔藓A
岩-コケB	岩石-苔藓B
岩-コケC	岩石-苔藓C
岩-コケD	岩石-苔藓D
岩-コケE	岩石-苔藓E
岩-コケF	岩石-苔藓F
岩-コケ大A	岩石-大苔藓A
岩-コケ大B	岩石-大苔藓B
岩-コケ大C	岩石-大苔藓C
岩-コケ大D	岩石-大苔藓D
岩-コケ大E	岩石-大苔藓E
岩-コケ大F	岩石-大苔藓F
バルコニー01パーツ-b	阳台01部件-b
バルコニー01パーツ-c	阳台01部件-c
バルコニー02パーツ-b	阳台01部件-b
バルコニー02パーツ-c	阳台02部件-c
バルコニー01	阳台01
バルコニー02	阳台02
バルコニー01パーツ-a	阳台01部件-a
バルコニー02パーツ-a	阳台02部件-a
窓01	窗户01
窓02	窗户02
窓03	窗户03
窓04	窗户04
窓06	窗户06
窓07	窗户07
窓08	窗户08
窓09	窗户09
窓10	窗户10
窓11	窗户11
木	树木
木_紅葉	树木_红叶
細めの木	细长树木
細めの木_紅葉	细长树木_红叶
地形01a	地形01a
地形01b	地形01b
地形01c	地形01c
地形01d	地形01d
大きな地形01	大地形01
雨	雨
雪	雪
炎	火
煙	烟
紙ふぶき	飞舞的纸片
花火	焰火
レンガの家-屋根A	砖房-屋顶A
レンガの家-壁01	砖房-墙壁01
レンガの家03	砖房03
藁葺きの家-ドア	茅草房-门
藁葺きの家-屋根A	茅草房-屋顶A
藁葺きの家-壁01	茅草房-墙壁01
藁葺きの家03	茅草房03
木の家-ドア	木屋-门
木の家-屋根A	木屋-屋顶A
木の家-壁01	木屋-墙壁01
木の家03	木屋03
花１B	花1B
花１C	花1C
窓05	窗户05
タンス１	柜子1
タンス２	柜子2
本棚01	书架01
本棚02	书架02
選択中	选择中
待機中	待机中
メニューアニメ用	菜单动画用
メニューカーソル	菜单光标
タイトルカーソル	标题光标
テキストカーソル	文本光标
テキストカーソル_黒	文本光标_黑色
建物パーツ	建筑物部件
柵	栅栏
屋外	室外
道	道路
窓	窗户
家具	家具
屋内	室内
小物	小型物品
建物	建筑
背景物	背景物
草	草
植物	植物
自然	自然
パーティクル	粒子
レンガの家-パーツ	砖房-部件
レイアウト関連画像	布局相关图像
水生植物	水生植物
藁葺きの家-パーツ	茅草房-部件
熱帯植物	热带植物
ドア	门
花	花
レイアウト用スプライト	布局用精灵
木の家-パーツ	木屋-部件
食べ物	食物
植木鉢_サブグラフィック	花盆_子图形
遺跡	遗迹
キノコ	蘑菇
シダ植物	蕨类植物
石	石头
岩・石・地形	岩石/石头/地形
岩	岩石
バルコニー	阳台
地形	地形
遠景	远景
黒魔術師	黑魔法师
サポートキャスト	辅助演员
兵士（兜）	士兵(头盔)
モンスターキャスト	怪物演员
白魔道士	白魔道士
兵士（兜無し）	士兵(无头盔)
聖職者A	神职人员A
老人A	老人A
老人B	老人B
執事	管家
占い師	占卜师
聖職者B	神职人员B
白魔術師	白魔法师
商人	商人
フキダシ素材	对白框素材
2Dキャスト_会話用	2D演员_对话用
　\itemnum	　\itemnum
